code,treatment,strength,route
0378-0503-05,Bisoprolol,5 mg/1,ORAL
0378-0505-05,Bisoprolol,10 mg/1,ORAL
29300-187-01,Bisoprolol,2.5 mg/1,ORAL
29300-187-05,Bisoprolol,2.5 mg/1,ORAL
29300-187-10,Bisoprolol,2.5 mg/1,ORAL
29300-187-13,Bisoprolol,2.5 mg/1,ORAL
29300-188-01,Bisoprolol,5 mg/1,ORAL
29300-188-05,Bisoprolol,5 mg/1,ORAL
29300-188-10,Bisoprolol,5 mg/1,ORAL
29300-188-13,Bisoprolol,5 mg/1,ORAL
29300-189-01,Bisoprolol,10 mg/1,ORAL
29300-189-05,Bisoprolol,10 mg/1,ORAL
29300-189-10,Bisoprolol,10 mg/1,ORAL
29300-189-13,Bisoprolol,10 mg/1,ORAL
50090-5849-0,Bisoprolol,5 mg/1,ORAL
50090-5849-2,Bisoprolol,5 mg/1,ORAL
67296-1268-3,Bisoprolol,2.5 mg/1,ORAL
70518-3207-0,Bisoprolol,10 mg/1,ORAL
71335-1769-1,Bisoprolol,5 mg/1,ORAL
71335-1769-2,Bisoprolol,5 mg/1,ORAL
71335-1769-3,Bisoprolol,5 mg/1,ORAL
71335-1931-1,Bisoprolol,2.5 mg/1,ORAL
71335-1931-2,Bisoprolol,2.5 mg/1,ORAL
71335-1931-3,Bisoprolol,2.5 mg/1,ORAL
50090-0789-0,Bisoprolol,5 mg/1,ORAL
50090-0789-1,Bisoprolol,5 mg/1,ORAL
50090-0789-2,Bisoprolol,5 mg/1,ORAL
50090-0799-0,Bisoprolol,10 mg/1,ORAL
67296-0947-1,Bisoprolol,5 mg/1,ORAL
70518-1947-0,Bisoprolol,10 mg/1,ORAL
51285-047-02,Bisoprolol,2.5 mg/1,ORAL
51285-050-02,Bisoprolol,5 mg/1,ORAL
51285-040-01,Bisoprolol,10 mg/1,ORAL
53746-670-01,Acebutolol,400 mg/1,ORAL
65162-669-50,Acebutolol,200 mg/1,ORAL
65162-670-03,Acebutolol,400 mg/1,ORAL
53746-670-30,Acebutolol,400 mg/1,ORAL
53746-669-05,Acebutolol,200 mg/1,ORAL
53746-670-05,Acebutolol,400 mg/1,ORAL
10135-630-01,Acebutolol,200 mg/1,ORAL
10135-631-01,Acebutolol,400 mg/1,ORAL
50268-050-15,Acebutolol,200 mg/1,ORAL
53746-669-01,Acebutolol,200 mg/1,ORAL
65162-669-10,Acebutolol,200 mg/1,ORAL
65162-670-10,Acebutolol,400 mg/1,ORAL
65162-670-50,Acebutolol,400 mg/1,ORAL
0378-0757-01,Atenolol,100 mg/1,ORAL
0378-0757-10,Atenolol,100 mg/1,ORAL
60429-027-10,Atenolol,25 mg/1,ORAL
60429-027-90,Atenolol,25 mg/1,ORAL
43063-765-30,Atenolol,50 mg/1,ORAL
71205-096-90,Atenolol,25 mg/1,ORAL
64980-437-01,Atenolol,25 mg/1,ORAL
64980-439-10,Atenolol,100 mg/1,ORAL
71335-1616-1,Atenolol,25 mg/1,ORAL
71335-1616-2,Atenolol,25 mg/1,ORAL
71335-1616-3,Atenolol,25 mg/1,ORAL
71335-1616-4,Atenolol,25 mg/1,ORAL
71335-1616-5,Atenolol,25 mg/1,ORAL
71335-1616-6,Atenolol,25 mg/1,ORAL
71335-0912-2,Atenolol,50 mg/1,ORAL
50090-0442-1,Atenolol,50 mg/1,ORAL
50090-0442-4,Atenolol,50 mg/1,ORAL
42708-012-30,Atenolol,50 mg/1,ORAL
70934-142-30,Atenolol,50 mg/1,ORAL
61919-581-60,Atenolol,25 mg/1,ORAL
65841-023-02,Atenolol,50 mg/1,ORAL
72189-146-90,Atenolol,25 mg/1,ORAL
53002-2004-0,Atenolol,50 mg/1,ORAL
53002-2004-3,Atenolol,50 mg/1,ORAL
53002-2004-6,Atenolol,50 mg/1,ORAL
53002-2138-0,Atenolol,100 mg/1,ORAL
53002-2138-3,Atenolol,100 mg/1,ORAL
53002-2138-6,Atenolol,100 mg/1,ORAL
72189-135-30,Atenolol,50 mg/1,ORAL
67544-240-60,Atenolol,25 mg/1,ORAL
53002-4108-0,Atenolol,25 mg/1,ORAL
53002-4108-3,Atenolol,25 mg/1,ORAL
53002-4108-6,Atenolol,25 mg/1,ORAL
0378-0218-01,Atenolol,25 mg/1,ORAL
0378-0218-10,Atenolol,25 mg/1,ORAL
0378-0231-01,Atenolol,50 mg/1,ORAL
0378-0231-10,Atenolol,50 mg/1,ORAL
0615-8026-05,Atenolol,25 mg/1,ORAL
0615-8026-39,Atenolol,25 mg/1,ORAL
0615-8027-05,Atenolol,50 mg/1,ORAL
0615-8027-39,Atenolol,50 mg/1,ORAL
70518-0351-2,Atenolol,50 mg/1,ORAL
61919-257-30,Atenolol,50 mg/1,ORAL
65862-169-99,Atenolol,50 mg/1,ORAL
64980-438-10,Atenolol,50 mg/1,ORAL
67296-1589-3,Atenolol,25 mg/1,ORAL
63187-201-30,Atenolol,50 mg/1,ORAL
50090-3410-3,Atenolol,100 mg/1,ORAL
71335-0668-2,Atenolol,100 mg/1,ORAL
61919-257-90,Atenolol,50 mg/1,ORAL
70518-0379-0,Atenolol,50 mg/1,ORAL
70518-0379-2,Atenolol,50 mg/1,ORAL
55154-5455-0,Atenolol,50 mg/1,ORAL
63187-537-10,Atenolol,25 mg/1,ORAL
71335-1264-1,Atenolol,100 mg/1,ORAL
71335-1264-2,Atenolol,100 mg/1,ORAL
71335-1264-3,Atenolol,100 mg/1,ORAL
71335-1264-4,Atenolol,100 mg/1,ORAL
71335-1264-5,Atenolol,100 mg/1,ORAL
71335-1264-6,Atenolol,100 mg/1,ORAL
71335-1264-7,Atenolol,100 mg/1,ORAL
71335-1535-1,Atenolol,25 mg/1,ORAL
71335-1535-2,Atenolol,25 mg/1,ORAL
71335-1535-3,Atenolol,25 mg/1,ORAL
71335-1535-4,Atenolol,25 mg/1,ORAL
71335-1535-5,Atenolol,25 mg/1,ORAL
71335-1535-6,Atenolol,25 mg/1,ORAL
71335-1535-7,Atenolol,25 mg/1,ORAL
55154-5511-0,Atenolol,25 mg/1,ORAL
65841-022-01,Atenolol,25 mg/1,ORAL
65841-023-16,Atenolol,50 mg/1,ORAL
65841-023-24,Atenolol,50 mg/1,ORAL
65841-023-40,Atenolol,50 mg/1,ORAL
29300-410-01,Atenolol,25 mg/1,ORAL
29300-410-05,Atenolol,25 mg/1,ORAL
29300-411-01,Atenolol,50 mg/1,ORAL
29300-411-05,Atenolol,50 mg/1,ORAL
29300-412-01,Atenolol,100 mg/1,ORAL
29300-412-05,Atenolol,100 mg/1,ORAL
43063-765-90,Atenolol,50 mg/1,ORAL
60429-026-90,Atenolol,100 mg/1,ORAL
50090-5738-0,Atenolol,100 mg/1,ORAL
50090-5738-3,Atenolol,100 mg/1,ORAL
50090-5738-5,Atenolol,100 mg/1,ORAL
50090-5741-0,Atenolol,50 mg/1,ORAL
50090-2923-8,Atenolol,50 mg/1,ORAL
72189-152-90,Atenolol,100 mg/1,ORAL
67544-240-80,Atenolol,25 mg/1,ORAL
68071-1772-5,Atenolol,50 mg/1,ORAL
65841-022-24,Atenolol,25 mg/1,ORAL
65841-023-01,Atenolol,50 mg/1,ORAL
65841-024-40,Atenolol,100 mg/1,ORAL
70518-0882-0,Atenolol,100 mg/1,ORAL
65862-168-01,Atenolol,25 mg/1,ORAL
43063-952-30,Atenolol,25 mg/1,ORAL
43063-952-90,Atenolol,25 mg/1,ORAL
70518-2866-0,Atenolol,50 mg/1,ORAL
68071-2248-6,Atenolol,50 mg/1,ORAL
71335-0668-5,Atenolol,100 mg/1,ORAL
63187-201-90,Atenolol,50 mg/1,ORAL
68382-023-40,Atenolol,50 mg/1,ORAL
68382-024-01,Atenolol,100 mg/1,ORAL
68382-024-10,Atenolol,100 mg/1,ORAL
68382-024-16,Atenolol,100 mg/1,ORAL
50090-3410-5,Atenolol,100 mg/1,ORAL
68382-022-10,Atenolol,25 mg/1,ORAL
68382-022-40,Atenolol,25 mg/1,ORAL
68071-4527-1,Atenolol,50 mg/1,ORAL
68071-4527-3,Atenolol,50 mg/1,ORAL
68071-4527-6,Atenolol,50 mg/1,ORAL
70518-3036-1,Atenolol,50 mg/1,ORAL
65841-022-16,Atenolol,25 mg/1,ORAL
68071-4538-5,Atenolol,25 mg/1,ORAL
50090-3043-4,Atenolol,50 mg/1,ORAL
50090-3043-7,Atenolol,50 mg/1,ORAL
50090-3043-8,Atenolol,50 mg/1,ORAL
50090-3043-0,Atenolol,50 mg/1,ORAL
50090-3043-1,Atenolol,50 mg/1,ORAL
50090-3410-0,Atenolol,100 mg/1,ORAL
50090-3410-1,Atenolol,100 mg/1,ORAL
50090-3411-0,Atenolol,25 mg/1,ORAL
50090-3411-2,Atenolol,25 mg/1,ORAL
72789-144-30,Atenolol,50 mg/1,ORAL
72789-144-90,Atenolol,50 mg/1,ORAL
50090-5233-0,Atenolol,50 mg/1,ORAL
50090-5233-1,Atenolol,50 mg/1,ORAL
50090-5233-4,Atenolol,50 mg/1,ORAL
50090-5233-7,Atenolol,50 mg/1,ORAL
50090-5233-8,Atenolol,50 mg/1,ORAL
68071-4527-9,Atenolol,50 mg/1,ORAL
68071-4274-1,Atenolol,100 mg/1,ORAL
68071-4274-3,Atenolol,100 mg/1,ORAL
68071-4274-6,Atenolol,100 mg/1,ORAL
68071-4274-8,Atenolol,100 mg/1,ORAL
68071-4274-9,Atenolol,100 mg/1,ORAL
71205-096-30,Atenolol,25 mg/1,ORAL
71205-096-60,Atenolol,25 mg/1,ORAL
68382-022-16,Atenolol,25 mg/1,ORAL
68382-022-24,Atenolol,25 mg/1,ORAL
68382-023-01,Atenolol,50 mg/1,ORAL
50090-5266-3,Atenolol,100 mg/1,ORAL
50090-5266-5,Atenolol,100 mg/1,ORAL
50090-5363-7,Atenolol,50 mg/1,ORAL
50090-5363-8,Atenolol,50 mg/1,ORAL
50090-5367-8,Atenolol,50 mg/1,ORAL
50090-5408-2,Atenolol,25 mg/1,ORAL
50090-5408-5,Atenolol,25 mg/1,ORAL
42708-143-30,Atenolol,50 mg/1,ORAL
71335-0912-5,Atenolol,50 mg/1,ORAL
50090-5266-0,Atenolol,100 mg/1,ORAL
68071-4538-9,Atenolol,25 mg/1,ORAL
68071-4751-3,Atenolol,100 mg/1,ORAL
67296-1270-3,Atenolol,25 mg/1,ORAL
68071-4766-9,Atenolol,50 mg/1,ORAL
60760-164-90,Atenolol,50 mg/1,ORAL
63187-092-30,Atenolol,50 mg/1,ORAL
43353-834-45,Atenolol,50 mg/1,ORAL
43353-834-73,Atenolol,50 mg/1,ORAL
71335-0954-1,Atenolol,50 mg/1,ORAL
71335-0954-2,Atenolol,50 mg/1,ORAL
71335-0954-3,Atenolol,50 mg/1,ORAL
71335-0954-4,Atenolol,50 mg/1,ORAL
71335-0954-5,Atenolol,50 mg/1,ORAL
71335-0954-6,Atenolol,50 mg/1,ORAL
71335-0954-7,Atenolol,50 mg/1,ORAL
67544-332-60,Atenolol,100 mg/1,ORAL
0615-8372-05,Atenolol,25 mg/1,ORAL
0615-8372-30,Atenolol,25 mg/1,ORAL
0615-8372-39,Atenolol,25 mg/1,ORAL
0615-8373-05,Atenolol,50 mg/1,ORAL
0615-8373-30,Atenolol,50 mg/1,ORAL
0615-8373-39,Atenolol,50 mg/1,ORAL
55700-754-30,Atenolol,50 mg/1,ORAL
55700-754-90,Atenolol,50 mg/1,ORAL
55700-755-30,Atenolol,25 mg/1,ORAL
70518-0379-1,Atenolol,50 mg/1,ORAL
43353-834-80,Atenolol,50 mg/1,ORAL
67544-161-30,Atenolol,25 mg/1,ORAL
67544-161-80,Atenolol,25 mg/1,ORAL
67544-240-45,Atenolol,25 mg/1,ORAL
67296-1201-9,Atenolol,25 mg/1,ORAL
63187-537-90,Atenolol,25 mg/1,ORAL
68071-4526-3,Atenolol,25 mg/1,ORAL
68071-4526-5,Atenolol,25 mg/1,ORAL
68071-4526-6,Atenolol,25 mg/1,ORAL
68071-4526-8,Atenolol,25 mg/1,ORAL
68071-4526-9,Atenolol,25 mg/1,ORAL
68788-7876-1,Atenolol,25 mg/1,ORAL
68788-7876-3,Atenolol,25 mg/1,ORAL
68788-7876-6,Atenolol,25 mg/1,ORAL
68788-7876-9,Atenolol,25 mg/1,ORAL
63187-537-60,Atenolol,25 mg/1,ORAL
68071-4553-1,Atenolol,50 mg/1,ORAL
68071-5033-1,Atenolol,25 mg/1,ORAL
71335-0988-1,Atenolol,25 mg/1,ORAL
71335-0988-2,Atenolol,25 mg/1,ORAL
71335-0988-3,Atenolol,25 mg/1,ORAL
71335-0988-4,Atenolol,25 mg/1,ORAL
71335-0988-5,Atenolol,25 mg/1,ORAL
71335-0988-6,Atenolol,25 mg/1,ORAL
43063-805-30,Atenolol,25 mg/1,ORAL
68071-4538-8,Atenolol,25 mg/1,ORAL
71335-0668-1,Atenolol,100 mg/1,ORAL
65841-023-10,Atenolol,50 mg/1,ORAL
65841-024-01,Atenolol,100 mg/1,ORAL
65841-024-10,Atenolol,100 mg/1,ORAL
60760-256-90,Atenolol,25 mg/1,ORAL
60760-437-90,Atenolol,25 mg/1,ORAL
60760-643-30,Atenolol,50 mg/1,ORAL
60760-643-90,Atenolol,50 mg/1,ORAL
70518-3036-0,Atenolol,50 mg/1,ORAL
61919-279-30,Atenolol,25 mg/1,ORAL
61919-664-30,Atenolol,50 mg/1,ORAL
61919-854-30,Atenolol,100 mg/1,ORAL
61919-854-90,Atenolol,100 mg/1,ORAL
65862-168-99,Atenolol,25 mg/1,ORAL
65862-170-99,Atenolol,100 mg/1,ORAL
71335-0912-1,Atenolol,50 mg/1,ORAL
50090-0442-8,Atenolol,50 mg/1,ORAL
43353-986-60,Atenolol,100 mg/1,ORAL
60760-787-90,Atenolol,25 mg/1,ORAL
60429-025-10,Atenolol,50 mg/1,ORAL
50090-5741-1,Atenolol,50 mg/1,ORAL
50090-5741-4,Atenolol,50 mg/1,ORAL
63629-1785-5,Atenolol,25 mg/1,ORAL
63629-1785-6,Atenolol,25 mg/1,ORAL
50090-5741-7,Atenolol,50 mg/1,ORAL
50090-5741-8,Atenolol,50 mg/1,ORAL
63629-8029-1,Atenolol,25 mg/1,ORAL
63629-8029-2,Atenolol,25 mg/1,ORAL
50090-0442-7,Atenolol,50 mg/1,ORAL
71335-0668-3,Atenolol,100 mg/1,ORAL
71335-0668-4,Atenolol,100 mg/1,ORAL
60429-025-90,Atenolol,50 mg/1,ORAL
43353-834-30,Atenolol,50 mg/1,ORAL
50090-2923-7,Atenolol,50 mg/1,ORAL
63629-1785-1,Atenolol,25 mg/1,ORAL
63629-1785-2,Atenolol,25 mg/1,ORAL
63629-1785-3,Atenolol,25 mg/1,ORAL
63629-1785-4,Atenolol,25 mg/1,ORAL
68071-1771-1,Atenolol,100 mg/1,ORAL
70518-0399-0,Atenolol,25 mg/1,ORAL
63629-2626-1,Atenolol,100 mg/1,ORAL
63629-2626-2,Atenolol,100 mg/1,ORAL
63629-2626-3,Atenolol,100 mg/1,ORAL
63629-2626-4,Atenolol,100 mg/1,ORAL
63629-2626-5,Atenolol,100 mg/1,ORAL
70518-3007-0,Atenolol,25 mg/1,ORAL
70518-3007-1,Atenolol,25 mg/1,ORAL
50090-5408-0,Atenolol,25 mg/1,ORAL
67296-1726-3,Atenolol,25 mg/1,ORAL
67296-1732-3,Atenolol,50 mg/1,ORAL
63187-710-30,Atenolol,50 mg/1,ORAL
63187-710-60,Atenolol,50 mg/1,ORAL
70518-2939-2,Atenolol,100 mg/1,ORAL
68382-023-10,Atenolol,50 mg/1,ORAL
63187-201-60,Atenolol,50 mg/1,ORAL
51079-685-20,Atenolol,100 mg/1,ORAL
71335-0912-3,Atenolol,50 mg/1,ORAL
68382-024-40,Atenolol,100 mg/1,ORAL
65841-024-16,Atenolol,100 mg/1,ORAL
68071-5162-1,Atenolol,100 mg/1,ORAL
71335-0912-6,Atenolol,50 mg/1,ORAL
65862-169-01,Atenolol,50 mg/1,ORAL
60429-026-10,Atenolol,100 mg/1,ORAL
71335-0912-4,Atenolol,50 mg/1,ORAL
0904-7187-61,Atenolol,25 mg/1,ORAL
43063-805-01,Atenolol,25 mg/1,ORAL
43063-805-90,Atenolol,25 mg/1,ORAL
68645-585-54,Atenolol,50 mg/1,ORAL
60760-164-30,Atenolol,50 mg/1,ORAL
51079-759-20,Atenolol,25 mg/1,ORAL
68788-7528-1,Atenolol,50 mg/1,ORAL
68788-7528-3,Atenolol,50 mg/1,ORAL
68788-7528-6,Atenolol,50 mg/1,ORAL
68071-4538-3,Atenolol,25 mg/1,ORAL
68788-7528-9,Atenolol,50 mg/1,ORAL
68788-7535-1,Atenolol,100 mg/1,ORAL
68788-7535-3,Atenolol,100 mg/1,ORAL
68788-7535-6,Atenolol,100 mg/1,ORAL
68788-7535-9,Atenolol,100 mg/1,ORAL
68788-7616-1,Atenolol,50 mg/1,ORAL
68788-7616-3,Atenolol,50 mg/1,ORAL
68788-7616-6,Atenolol,50 mg/1,ORAL
68788-7616-9,Atenolol,50 mg/1,ORAL
70934-177-30,Atenolol,25 mg/1,ORAL
63187-537-30,Atenolol,25 mg/1,ORAL
50090-5363-0,Atenolol,50 mg/1,ORAL
50090-5367-0,Atenolol,50 mg/1,ORAL
68788-7784-1,Atenolol,25 mg/1,ORAL
68788-7784-3,Atenolol,25 mg/1,ORAL
68788-7784-6,Atenolol,25 mg/1,ORAL
68788-7784-9,Atenolol,25 mg/1,ORAL
68071-4538-6,Atenolol,25 mg/1,ORAL
72189-135-90,Atenolol,50 mg/1,ORAL
71205-096-10,Atenolol,25 mg/1,ORAL
67296-1201-3,Atenolol,25 mg/1,ORAL
67296-1288-3,Atenolol,50 mg/1,ORAL
68382-023-02,Atenolol,50 mg/1,ORAL
60687-605-01,Atenolol,25 mg/1,ORAL
51079-684-20,Atenolol,50 mg/1,ORAL
50090-2923-0,Atenolol,50 mg/1,ORAL
50090-3411-5,Atenolol,25 mg/1,ORAL
53002-1004-0,Atenolol,50 mg/1,ORAL
53002-1004-3,Atenolol,50 mg/1,ORAL
53002-1004-6,Atenolol,50 mg/1,ORAL
70518-3036-2,Atenolol,50 mg/1,ORAL
67544-161-45,Atenolol,25 mg/1,ORAL
67544-240-30,Atenolol,25 mg/1,ORAL
70518-2939-0,Atenolol,100 mg/1,ORAL
70518-2939-1,Atenolol,100 mg/1,ORAL
60760-642-90,Atenolol,100 mg/1,ORAL
53002-1108-0,Atenolol,25 mg/1,ORAL
53002-1108-1,Atenolol,25 mg/1,ORAL
53002-1108-3,Atenolol,25 mg/1,ORAL
53002-1108-6,Atenolol,25 mg/1,ORAL
53002-1138-0,Atenolol,100 mg/1,ORAL
53002-1138-3,Atenolol,100 mg/1,ORAL
64980-439-01,Atenolol,100 mg/1,ORAL
65862-170-01,Atenolol,100 mg/1,ORAL
70518-0399-2,Atenolol,25 mg/1,ORAL
43353-834-60,Atenolol,50 mg/1,ORAL
70518-0882-2,Atenolol,100 mg/1,ORAL
63187-092-90,Atenolol,50 mg/1,ORAL
70934-177-60,Atenolol,25 mg/1,ORAL
70934-177-90,Atenolol,25 mg/1,ORAL
70934-219-30,Atenolol,50 mg/1,ORAL
70934-219-90,Atenolol,50 mg/1,ORAL
70934-457-60,Atenolol,25 mg/1,ORAL
70934-458-30,Atenolol,100 mg/1,ORAL
70934-463-30,Atenolol,50 mg/1,ORAL
60760-163-90,Atenolol,25 mg/1,ORAL
70934-537-30,Atenolol,100 mg/1,ORAL
70934-537-90,Atenolol,100 mg/1,ORAL
67544-161-92,Atenolol,25 mg/1,ORAL
68382-022-01,Atenolol,25 mg/1,ORAL
68382-023-16,Atenolol,50 mg/1,ORAL
68382-023-24,Atenolol,50 mg/1,ORAL
63187-710-90,Atenolol,50 mg/1,ORAL
71205-229-30,Atenolol,50 mg/1,ORAL
71205-229-60,Atenolol,50 mg/1,ORAL
71205-229-90,Atenolol,50 mg/1,ORAL
67544-161-60,Atenolol,25 mg/1,ORAL
71205-496-30,Atenolol,50 mg/1,ORAL
71205-496-60,Atenolol,50 mg/1,ORAL
71205-496-90,Atenolol,50 mg/1,ORAL
71335-0540-1,Atenolol,100 mg/1,ORAL
71335-0540-2,Atenolol,100 mg/1,ORAL
71335-0540-3,Atenolol,100 mg/1,ORAL
71335-0540-4,Atenolol,100 mg/1,ORAL
71335-0540-5,Atenolol,100 mg/1,ORAL
50090-3411-4,Atenolol,25 mg/1,ORAL
71335-1108-1,Atenolol,50 mg/1,ORAL
71335-1108-2,Atenolol,50 mg/1,ORAL
71335-1108-3,Atenolol,50 mg/1,ORAL
71335-1108-4,Atenolol,50 mg/1,ORAL
71335-1108-5,Atenolol,50 mg/1,ORAL
71335-1108-6,Atenolol,50 mg/1,ORAL
50090-0442-0,Atenolol,50 mg/1,ORAL
0093-0752-01,Atenolol,50 mg/1,ORAL
0093-0752-10,Atenolol,50 mg/1,ORAL
0093-0753-01,Atenolol,100 mg/1,ORAL
0093-0753-05,Atenolol,100 mg/1,ORAL
0093-0787-01,Atenolol,25 mg/1,ORAL
0093-0787-10,Atenolol,25 mg/1,ORAL
65841-022-10,Atenolol,25 mg/1,ORAL
65841-022-40,Atenolol,25 mg/1,ORAL
61919-914-71,Atenolol,25 mg/1,ORAL
67296-1558-3,Atenolol,50 mg/1,ORAL
64980-437-10,Atenolol,25 mg/1,ORAL
64980-438-01,Atenolol,50 mg/1,ORAL
67296-1270-6,Atenolol,25 mg/1,ORAL
72189-146-30,Atenolol,25 mg/1,ORAL
72189-146-60,Atenolol,25 mg/1,ORAL
70954-390-10,Atenolol,50 mg/1,
70954-391-10,Atenolol,100 mg/1,
10135-733-01,Atenolol,50 mg/1,
10135-734-01,Atenolol,100 mg/1,
55289-993-90,Atenolol,50 mg/1,
16714-936-01,Atenolol,50 mg/1,
16714-937-01,Atenolol,100 mg/1,
68071-3065-3,Atenolol,50 mg/1,
68071-3065-6,Atenolol,50 mg/1,
68071-3065-9,Atenolol,50 mg/1,
29300-400-01,Atenolol,50 mg/1,
29300-400-05,Atenolol,50 mg/1,
29300-401-01,Atenolol,100 mg/1,
29300-401-05,Atenolol,100 mg/1,
0591-5782-01,Atenolol,50 mg/1,
0591-5783-01,Atenolol,100 mg/1,
55289-993-30,Atenolol,50 mg/1,
70518-2446-0,Atenolol,100 mg/1,
70710-1167-1,Atenolol,50 mg/1,
70710-1168-1,Atenolol,100 mg/1,
70771-1372-1,Atenolol,50 mg/1,
70771-1373-1,Atenolol,100 mg/1,
55289-993-60,Atenolol,50 mg/1,
